,,,,,,,,,,,,,,,,,,,,,,,,2-Pt Field Goals,2-Pt Field Goals,2-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals\,
,,,,,,,,,,,,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,,Dunks,Dunks,,Corner,Corner,Heaves,Heaves\,
Season,Name,Age,Tm,Lg,Pos,G,MP,PPG,FGA,FG%,Dist.,2P,0-3,3-10,10-16,16 <3,3P,2P,0-3,3-10,10-16,16 <3,3P,%Ast'd,%FGA,Md.,%Ast'd,%3PA,3P%,Att.,Md.\,
2002-03,Kobe Bryant,24,LAL,NBA,SG,82,3401,30,1924,0.451,13.9,0.832,0.215,0.106,0.188,0.321,0.168,0.465,0.642,0.426,0.362,0.42,0.383,0.364,0.063,116,0.613,0.096,0.355,6,0\,
2002-03,Allen Iverson,27,PHI,NBA,SG,82,3485,27.6,1940,0.414,13,0.844,0.28,0.077,0.151,0.335,0.156,0.44,0.537,0.38,0.341,0.417,0.277,0.385,0.005,10,0.786,0.125,0.237,1,1\,
2002-03,Tracy McGrady,23,ORL,NBA,SG,75,2954,32.1,1813,0.457,14.4,0.753,0.259,0.068,0.097,0.33,0.247,0.481,0.586,0.398,0.423,0.431,0.386,0.317,0.046,79,0.503,0.047,0.286,1,0\,
2002-03,Paul Pierce,25,BOS,NBA,SG,79,3096,25.9,1592,0.416,13.6,0.754,0.287,0.074,0.143,0.251,0.246,0.454,0.637,0.246,0.388,0.343,0.302,0.415,0.032,46,0.703,0.09,0.229,5,0\,
2002-03,Shaquille O'Neal,30,LAL,NBA,C,67,2535,27.5,1211,0.574,3.6,1,0.537,0.393,0.068,0.002,0,0.574,0.745,0.403,0.232,0,,0.655,0.221,251,,,,0,0\,
2001-02,Allen Iverson,26,PHI,NBA,SG,60,2622,31.4,1669,0.398,13.2,0.839,0.239,0.107,0.192,0.301,0.161,0.419,0.564,0.38,0.299,0.394,0.291,0.375,0.005,9,0.782,0.086,0.522,0,0\,
2001-02,Tracy McGrady,22,ORL,NBA,SG,76,2912,25.6,1586,0.451,12.3,0.822,0.307,0.122,0.114,0.278,0.178,0.47,0.624,0.392,0.409,0.358,0.364,0.391,0.079,114,0.602,0.074,0.381,6,0\,
2001-02,Paul Pierce,24,BOS,NBA,SG,82,3302,26.1,1598,0.442,14.9,0.675,0.26,0.071,0.118,0.225,0.325,0.461,0.6,0.289,0.354,0.411,0.404,0.543,0.033,50,0.767,0.11,0.281,6,1\,
2001-02,Shaquille O'Neal,29,LAL,NBA,C,67,2422,27.2,1229,0.579,3.8,0.999,0.509,0.409,0.078,0.002,0.001,0.58,0.744,0.447,0.219,0,0,0.612,0.216,252,,0,,0,0\,
2001-02,Tim Duncan,25,SAS,NBA,PF,82,3329,25.5,1504,0.508,7.6,0.993,0.311,0.337,0.256,0.089,0.007,0.511,0.714,0.45,0.405,0.336,0.1,0.464,0.071,102,1,0.1,1,0,0\,
2000-01,Kobe Bryant,22,LAL,NBA,SG,68,2783,28.5,1510,0.464,12.8,0.868,0.24,0.134,0.189,0.303,0.132,0.489,0.653,0.409,0.462,0.41,0.305,0.384,0.035,49,0.77,0.12,0.375,4,0\,
2000-01,Allen Iverson,25,PHI,NBA,SG,71,2979,31.1,1813,0.42,12.7,0.831,0.223,0.175,0.185,0.248,0.169,0.441,0.686,0.268,0.33,0.423,0.32,0.37,0.004,7,0.786,0.108,0.364,1,0\,
2000-01,Shaquille O'Neal,28,LAL,NBA,C,74,2924,28.7,1422,0.572,4.7,0.999,0.429,0.452,0.113,0.005,0.001,0.573,0.792,0.417,0.375,0.286,0,0.645,0.16,219,,0,,1,0\,
2000-01,Jerry Stackhouse,26,DET,NBA,SG,80,3215,29.8,1927,0.402,14.5,0.755,0.231,0.049,0.179,0.295,0.245,0.418,0.592,0.234,0.348,0.355,0.351,0.431,0.025,45,0.777,0.288,0.338,0,0\,
2000-01,Vince Carter,24,TOR,NBA,SF,75,2979,27.6,1656,0.46,14.1,0.76,0.245,0.1,0.124,0.29,0.24,0.477,0.613,0.337,0.432,0.428,0.408,0.558,0.028,44,0.772,0.169,0.403,1,0\,
